servering..i.kg.,antal.ätande.på.plats,kategori,tallrikssvinn.gäst.dag,enhet,tallrik..i.kg.,serveringssvinn.gäst.dag,kökssvinn.gäst.dag,dagar,antal.port.inkl..utskick,kök..i.kg.,date,code
"87,2",339,grundskola,16.31,Fornbacka,105,13.55,9.01,19,339,58,2019-11-01T12:00:00Z,Forn
208,582,grundskola,42.15,Hovsjö,466,18.81,4.61,19,582,51,2019-11-01T12:00:00Z,Hovs
92,469,grundskola,9.1,Hölö,81,10.33,5.23,19,473,47,2019-11-01T12:00:00Z,Hölö
363,740,grundskola,27.82,Igelstaviken,"432,5",23.35,2.23,21,740,"34,6",2019-11-01T12:00:00Z,Igel
39,393,grundskola,30.56,Lina,240,4.97,8.28,20,393,65,2019-11-01T12:00:00Z,Lina
167,215,grundskola,19.09,Majtorp,86,37.07,5.55,21,215,25,2019-11-01T12:00:00Z,Majt
26,287,gymnasium,10.1,Moraberg,58,4.53,4.88,20,287,28,2019-11-01T12:00:00Z,Mora
38,156,grundskola,57.92,Mölnbo,190,11.58,4.13,21,242,21,2019-11-01T12:00:00Z,Möln
,352,grundskola,32.67,Oxbacken,230,NULL,9.232954545,20,352,65,2019-11-01T12:00:00Z,Oxba
218,550,grundskola,17.18,Pershagen,189,19.82,0.45,20,550,5,2019-11-01T12:00:00Z,Pers
76,694,gymnasium,18.58,Rektorsvägen,245,5.76,1.52,19,694,20,2019-11-01T12:00:00Z,Rekt
131,760,grundskola,24.58,Ronna,355,9.07,5.17,19,1018,100,2019-11-01T12:00:00Z,Ronn
192,535,grundskola,29.04,Rosenborg,295,18.9,0.74,19,1498,21,2019-11-01T12:00:00Z,Rose
116,619,grundskola,28.74,Soldala,356,9.37,4.52,20,619,56,2019-11-01T12:00:00Z,Sold
107,364,grundskola,20.27,Stålhamra,155,13.99,5.49,21,364,42,2019-11-01T12:00:00Z,Stål
67,429,grundskola,26.81,Tavesta,230,7.81,4.9,20,429,42,2019-11-01T12:00:00Z,Tave
82,320,grundskola,25.3,Valla,162,12.81,13.21,20,386,102,2019-11-01T12:00:00Z,Vall
120,650,grundskola,27.07,Wasa,352,9.23,9.61,20,650,125,2019-11-01T12:00:00Z,Wasa
100,501,gymnasium,13.46,Västergård,128,10.52,3.12,19,1551,92,2019-11-01T12:00:00Z,Väst
112,237,grundskola,20.03,Viksberg,90,24.92,7.12,19,237,32,2019-11-01T12:00:00Z,Viks
,210,övrigt ,NULL,Stadshuset,,NULL,48.86,23,210,236,2019-11-01T12:00:00Z,Stad
,685,grundskola,25.29,Blombacka,260,NULL,4.99,15,1148,86,2019-12-01T12:00:00Z,Blom
,380,grundskola,NULL,Braxen,,NULL,NULL,,380,,2019-12-01T12:00:00Z,Brax
150,873,grundskola,34.73,Brunnsäng,455,11.44950767,11.45,15,873,150,2019-12-01T12:00:00Z,Brun
97,565,grundskola,15.33,Ene,130,11.44,6.72,15,565,57,2019-12-01T12:00:00Z,Ene
79,339,grundskola,13.01,Fornbacka,"66,1",15.55,10.63,15,339,54,2019-12-01T12:00:00Z,Forn
137,582,grundskola,40.67,Hovsjö,355,15.7,3.9,15,582,34,2019-12-01T12:00:00Z,Hovs
79,469,grundskola,9.12,Hölö,"64,1",11.24,7.61,15,473,54,2019-12-01T12:00:00Z,Hölö
244,740,grundskola,24.03,Igelstaviken,249,23.54,1.11,14,740,"11,5",2019-12-01T12:00:00Z,Igel
70,393,grundskola,24.62,Lina,145,11.88,13.58,15,393,80,2019-12-01T12:00:00Z,Lina
69,215,grundskola,22.07,Majtorp,71,21.44522145,6.53,15,215,21,2019-12-01T12:00:00Z,Majt
26,287,gymnasium,11.15,Moraberg,48,6.04,5.34,15,287,23,2019-12-01T12:00:00Z,Mora
37,156,grundskola,15.79,Mölnbo,37,15.79,6.34,15,242,23,2019-12-01T12:00:00Z,Möln
,352,grundskola,34.47,Oxbacken,182,NULL,9.848484848,15,352,52,2019-12-01T12:00:00Z,Oxba
112,550,grundskola,16,Pershagen,132,13.58,1.82,15,550,15,2019-12-01T12:00:00Z,Pers
42,694,gymnasium,17.58,Rektorsvägen,183,4.034000864,2.5,15,694,26,2019-12-01T12:00:00Z,Rekt
136,760,grundskola,25,Ronna,285,11.93,4.26,15,1018,65,2019-12-01T12:00:00Z,Ronn
240,535,grundskola,34.92,Rosenborg,280,29.92891882,1.78,15,1498,40,2019-12-01T12:00:00Z,Rose
70,619,grundskola,27.56,Soldala,256,7.54,3.88,15,619,36,2019-12-01T12:00:00Z,Sold
104,364,grundskola,21.97,Stålhamra,120,19.04,2.75,15,364,15,2019-12-01T12:00:00Z,Stål
32,429,grundskola,32.63,Tavesta,210,4.97,6.37,15,429,41,2019-12-01T12:00:00Z,Tave
54,320,grundskola,26.66,Valla,128,11.25,12.6,15,386,73,2019-12-01T12:00:00Z,Vall
80,650,grundskola,25.64,Wasa,250,8.2,10.25,15,650,100,2019-12-01T12:00:00Z,Wasa
76,501,gymnasium,16.27,Västergård,114,10.85,3.59,14,1551,78,2019-12-01T12:00:00Z,Väst
115,237,grundskola,32.14,Viksberg,114,32.41719521,11.55743481,15,237,41,2019-12-01T12:00:00Z,Viks
,210,övrigt ,NULL,Stadshuset,,NULL,60,15,210,189,2019-12-01T12:00:00Z,Stad
210,685,grundskola,17.77,Blombacka,207,18.03,2.05,17,1148,40,2020-01-01T12:00:00Z,Blom
220,380,grundskola,29.76,Braxen,192,34.1,5.43,17,380,35,2020-01-01T12:00:00Z,Brax
577,873,grundskola,31.18,Brunnsäng,463,38.86,17.38,17,873,258,2020-01-01T12:00:00Z,Brun
